date,open,high,low,close,volume
2025-04-01,218.86,222.71,217.95,222.22,36412700
2025-04-02,220.36,224.21,220.06,222.92,35905900
2025-04-03,204.65,206.59,200.38,202.31,103419000
2025-04-04,193.05,199.01,186.53,187.56,125910900
2025-04-07,176.43,193.31,173.86,180.67,160466300
2025-04-08,185.89,189.51,168.48,171.67,120859500
2025-04-09,171.2,199.74,171.14,197.99,184395900
2025-04-10,188.25,193.93,182.21,189.59,121880000
2025-04-11,185.29,198.67,185.25,197.29,87435900
2025-04-14,210.52,212.02,200.29,201.64,101352900
2025-04-15,200.98,202.63,198.93,201.26,51343900
2025-04-16,197.5,199.83,191.54,193.43,59732400
2025-04-17,196.34,197.97,193.58,196.13,52164700
2025-04-21,192.43,192.96,188.99,192.32,46742500
2025-04-22,195.27,200.72,195.12,198.87,52976400
2025-04-23,205.11,207.1,201.92,203.71,52929200
2025-04-24,204.0,207.92,202.06,207.47,47311000
2025-04-25,205.47,208.84,205.31,208.37,38222300
2025-04-28,209.09,210.58,206.56,209.23,38743100
2025-04-29,207.78,211.32,207.47,210.29,36827600
2025-04-30,208.39,212.65,205.77,211.58,52286500
2025-05-01,208.17,213.63,207.99,212.39,57365700
2025-05-02,205.2,206.09,201.28,204.46,101010600
2025-05-05,202.22,203.21,197.35,198.03,69018500
2025-05-06,197.35,199.78,196.17,197.65,51216500
2025-05-07,198.31,198.57,192.41,195.4,68536700
2025-05-08,196.86,199.18,193.84,196.63,50478900
2025-05-09,198.14,199.67,196.68,197.67,36453900
2025-05-12,210.33,210.63,206.12,210.15,63775800
2025-05-13,209.79,212.75,208.37,212.28,51909300
2025-05-14,211.79,213.29,209.94,211.69,49325800
2025-05-15,210.31,212.31,208.9,210.81,45029500
2025-05-16,211.72,211.93,209.13,210.62,54737900
2025-05-19,207.28,208.84,203.64,208.15,46140500
2025-05-20,207.04,207.84,204.41,206.23,42496600
2025-05-21,204.55,206.41,200.1,201.48,59211800
2025-05-22,200.1,202.13,199.09,200.75,46742400
2025-05-23,193.08,197.1,192.87,194.68,78432900
2025-05-27,197.7,200.13,196.83,199.6,56288500
2025-05-28,199.98,202.11,199.29,199.81,45339700
2025-05-29,202.96,203.19,197.91,199.34,51396800
2025-05-30,198.77,201.35,196.18,200.24,70819900
2025-06-02,199.67,201.52,199.51,201.09,35423300
2025-06-03,200.74,203.15,200.35,202.65,46381600
2025-06-04,202.29,205.61,201.49,202.2,43604000
2025-06-05,202.88,204.13,199.54,200.02,55126100
2025-06-06,202.38,205.08,201.44,203.3,46607700
2025-06-09,203.77,205.38,199.41,200.84,72862600
2025-06-10,199.99,203.73,199.96,202.06,54672600
2025-06-11,202.88,203.88,197.81,198.18,60989900
2025-06-12,198.48,199.07,196.76,198.6,43904600
2025-06-13,199.12,199.76,195.11,195.85,51447300
2025-06-16,196.7,198.09,195.96,197.82,43020700
2025-06-17,196.6,197.79,194.62,195.05,38856200
2025-06-18,195.35,196.97,194.48,195.98,45394700
2025-06-20,197.64,201.09,196.26,200.39,96813500
2025-06-23,201.02,201.69,198.36,200.89,55814300
2025-06-24,201.98,202.82,199.59,199.69,54064000
2025-06-25,200.84,203.05,200.01,200.95,39525700
2025-06-26,200.82,202.03,198.85,200.39,50799100
2025-06-27,201.28,202.6,199.39,200.47,73188600
2025-06-30,201.4,206.76,198.66,204.55,91912800
2025-07-01,206.04,209.55,205.51,207.19,78788900
2025-07-02,208.28,212.69,207.51,211.8,67941800
2025-07-03,211.51,214.0,211.17,212.9,34955800
2025-07-07,212.03,215.57,208.17,209.31,50229000
2025-07-08,209.46,210.79,207.82,209.37,42848900
2025-07-09,208.89,210.69,206.59,210.5,48749400
2025-07-10,209.87,212.83,209.39,211.77,44443600
2025-07-11,209.93,211.49,209.22,210.52,39765800
2025-07-14,209.29,210.27,206.91,207.99,38840100
2025-07-15,208.59,211.25,208.29,208.48,42296300
2025-07-16,209.66,211.76,208.01,209.52,47490500
2025-07-17,209.93,211.16,208.95,209.38,48068100
2025-07-18,210.23,211.15,209.06,210.54,48974600
2025-07-21,211.46,215.13,210.99,211.84,51377400
2025-07-22,212.49,214.3,211.59,213.75,46404100
2025-07-23,214.35,214.5,211.77,213.5,46989300
2025-07-24,213.25,215.04,212.88,213.11,46022600
2025-07-25,214.05,214.59,212.75,213.23,40268800
2025-07-28,213.38,214.2,212.41,213.4,37858000
2025-07-29,213.53,214.16,210.18,210.63,51411700
2025-07-30,211.26,211.75,207.09,208.42,45512500
2025-07-31,207.86,209.2,206.53,206.94,80698400
2025-08-01,210.23,212.93,200.89,201.77,104434500
2025-08-04,203.89,207.25,201.07,202.73,75109300
2025-08-05,202.78,204.72,201.55,202.3,44155100
2025-08-06,205.01,214.73,204.97,212.6,108483100
2025-08-07,218.22,220.18,215.92,219.36,90224800
2025-08-08,220.16,230.3,218.58,228.65,113854000
2025-08-11,227.49,229.12,224.33,226.75,61806100
2025-08-12,227.58,230.36,226.64,229.21,55626200
2025-08-13,230.63,234.55,229.99,232.89,69878500
2025-08-14,233.61,234.67,230.41,232.34,51916300
2025-08-15,233.55,233.83,228.9,231.15,56038700
2025-08-18,231.26,232.68,229.67,230.45,37476200
2025-08-19,230.84,232.43,228.91,230.12,39402600
2025-08-20,229.54,230.03,225.34,225.58,42263900
2025-08-21,225.84,226.09,223.35,224.47,30621200
2025-08-22,225.74,228.65,224.98,227.33,42477800
2025-08-25,226.05,228.86,225.8,226.73,30983100
2025-08-26,226.44,229.05,224.26,228.87,54575100
2025-08-27,228.18,230.46,227.83,230.05,31259500
2025-08-28,230.38,232.97,228.9,232.12,38074700
2025-08-29,232.07,232.94,230.93,231.7,39418400
2025-09-02,228.81,230.41,226.54,229.28,44075600
2025-09-03,236.76,238.4,233.91,238.02,66427800
2025-09-04,238.0,239.44,236.29,239.32,47549400
2025-09-05,239.54,240.86,238.04,239.23,54870400
2025-09-08,238.84,239.69,235.89,237.43,48999500
2025-09-09,236.55,238.33,232.92,233.9,66313900
2025-09-10,231.75,231.98,225.52,226.36,83440800
2025-09-11,226.45,230.01,226.22,229.59,50208600
2025-09-12,228.78,234.06,228.58,233.62,55824200
