date,open,high,low,close,volume
2025-04-01,153.09,157.55,153.09,156.53,30672900
2025-04-02,154.61,157.86,154.17,156.5,25041700
2025-04-03,150.59,152.25,149.87,150.2,46883400
2025-04-04,147.5,150.55,144.88,145.1,62259500
2025-04-07,141.06,152.32,140.04,146.24,76794100
2025-04-08,150.7,151.71,142.54,144.2,52200200
2025-04-09,143.92,159.0,143.41,158.16,70406200
2025-04-10,156.0,157.17,149.41,152.29,48022000
2025-04-11,152.37,157.13,152.29,156.6,33636200
2025-04-14,159.45,161.16,157.02,158.52,30333000
2025-04-15,158.58,159.1,154.67,155.77,27551500
2025-04-16,152.57,155.35,150.99,152.8,28187400
2025-04-17,153.76,154.15,147.99,150.64,33046600
2025-04-21,148.37,148.44,145.6,147.16,26049100
2025-04-22,148.38,151.66,148.03,150.95,26971800
2025-04-23,155.07,156.99,153.28,154.81,31128800
2025-04-24,155.61,159.04,155.25,158.73,45894000
2025-04-25,164.5,165.53,160.48,161.4,56034000
2025-04-28,161.87,162.59,158.05,160.05,29745800
2025-04-29,159.77,160.18,156.98,159.61,26809000
2025-04-30,157.43,158.72,154.86,158.25,34981100
2025-05-01,159.9,161.39,158.36,160.74,30203200
2025-05-02,162.85,164.4,161.31,163.46,25715000
2025-05-05,162.44,164.82,162.16,163.64,21341800
2025-05-06,161.61,164.23,160.63,162.67,21277200
2025-05-07,163.51,164.43,147.33,150.86,127490100
2025-05-08,154.46,155.39,152.37,153.75,57498700
2025-05-09,153.64,154.51,151.67,152.22,32435300
2025-05-12,156.95,158.55,155.71,157.91,44138800
2025-05-13,158.24,160.02,155.62,158.98,42382100
2025-05-14,159.41,166.42,159.06,164.8,48755900
2025-05-15,165.27,165.64,161.81,163.39,33146700
2025-05-16,167.15,168.76,165.05,165.62,42846900
2025-05-19,163.94,166.06,163.65,165.96,30426100
2025-05-20,165.85,167.92,162.34,163.41,46607700
2025-05-21,163.12,172.54,162.99,167.98,73416000
2025-05-22,171.26,176.16,170.12,170.28,74864400
2025-05-23,168.48,169.37,167.31,167.89,35211400
2025-05-27,169.57,172.57,169.41,172.3,37995700
2025-05-28,172.56,174.66,171.32,171.76,34784000
2025-05-29,173.4,173.82,170.04,171.27,29317300
2025-05-30,170.76,171.61,166.86,171.15,52639900
2025-06-02,167.26,169.28,166.81,168.45,38612300
2025-06-03,166.91,167.9,164.71,165.61,45084900
2025-06-04,166.16,167.64,165.79,167.47,26900800
2025-06-05,169.75,170.34,167.01,167.63,36379100
2025-06-06,170.24,173.9,170.24,173.08,35731800
2025-06-09,174.15,176.07,173.98,175.69,28935900
2025-06-10,175.8,180.7,174.52,178.2,61766100
2025-06-11,179.37,179.96,176.35,176.95,31646800
2025-06-12,175.78,176.32,174.36,175.3,20941900
2025-06-13,172.05,176.73,172.0,174.28,27663100
2025-06-16,174.34,176.54,174.26,176.37,27389200
2025-06-17,175.3,176.96,174.19,175.55,24973000
2025-06-18,175.61,176.16,172.81,172.93,28707500
2025-06-20,173.56,173.95,165.09,166.27,75659900
2025-06-23,165.9,166.96,161.64,164.82,57671000
2025-06-24,166.54,167.84,165.76,166.39,40524300
2025-06-25,167.25,171.97,167.17,170.3,35479000
2025-06-26,172.04,173.3,169.56,173.15,31796700
2025-06-27,173.15,178.28,171.34,178.13,108140200
2025-06-30,180.37,180.82,174.19,175.83,63378900
2025-07-01,175.34,175.69,173.14,175.44,35904500
2025-07-02,175.15,178.46,174.68,178.24,29128900
2025-07-03,178.1,179.27,176.65,179.13,21689700
2025-07-07,178.66,178.9,175.28,176.39,34175600
2025-07-08,177.45,177.55,172.42,173.97,40442500
2025-07-09,174.86,179.04,172.38,176.22,43025600
2025-07-10,175.24,178.03,173.99,177.22,29252400
2025-07-11,176.39,181.02,176.08,179.78,34282900
2025-07-14,180.6,183.26,179.28,181.15,32536600
2025-07-15,182.4,183.81,181.19,181.59,33448300
2025-07-16,182.83,183.92,181.62,182.56,33104200
2025-07-17,181.73,183.65,180.07,183.17,31992600
2025-07-18,184.98,186.0,183.3,184.64,34014500
2025-07-21,185.83,189.86,185.73,189.67,45803100
2025-07-22,191.07,191.22,187.04,190.91,44660200
2025-07-23,191.07,192.1,188.75,189.8,58681900
2025-07-24,196.59,197.5,190.57,191.74,74881700
2025-07-25,191.55,193.89,190.83,192.75,39785900
2025-07-28,193.21,193.61,190.41,192.15,38139500
2025-07-29,192.0,195.48,191.65,195.31,41389200
2025-07-30,195.16,197.16,194.25,196.09,32445400
2025-07-31,195.27,195.55,190.66,191.47,51329200
2025-08-01,188.6,190.4,187.4,188.7,34832200
2025-08-04,189.86,194.83,189.69,194.6,31547400
2025-08-05,194.27,197.41,193.45,194.23,31602300
2025-08-06,194.06,196.19,193.23,195.65,21562900
2025-08-07,196.62,197.1,193.89,196.08,26321800
2025-08-08,196.78,202.15,196.73,200.97,39161800
2025-08-11,200.49,201.03,198.62,200.55,25832400
2025-08-12,200.92,204.04,200.14,202.88,30397900
2025-08-13,203.67,204.07,197.07,201.51,28342900
2025-08-14,201.05,203.98,200.78,202.48,25230400
2025-08-15,203.39,205.98,200.83,203.44,34931400
2025-08-18,203.74,204.81,202.03,203.04,18526600
