date,open,high,low,close,volume
2025-03-03,123.47,123.66,112.24,114.02,411381400
2025-03-04,110.61,119.27,110.07,115.95,398163300
2025-03-05,117.54,118.24,114.47,117.26,284337900
2025-03-06,113.49,115.31,110.18,110.53,321181900
2025-03-07,111.21,113.44,107.52,112.65,341755500
2025-03-10,109.86,111.81,105.43,106.94,366487400
2025-03-11,106.95,112.2,104.74,108.72,354865700
2025-03-12,114.09,116.73,112.85,115.71,323857500
2025-03-13,117.0,117.73,113.76,115.55,299033100
2025-03-14,118.58,121.85,118.12,121.64,277593500
2025-03-17,122.71,122.86,118.0,119.5,255501500
2025-03-18,117.97,118.99,114.51,115.4,299686900
2025-03-19,117.24,120.42,115.65,117.49,273426200
2025-03-20,116.52,120.17,116.44,118.5,248829700
2025-03-21,116.91,117.96,115.39,117.67,266498500
2025-03-24,119.85,122.19,119.31,121.38,228452500
2025-03-25,120.52,121.26,118.89,120.66,167447200
2025-03-26,118.7,118.81,112.68,113.73,293463300
2025-03-27,111.32,114.42,110.63,111.4,236902100
2025-03-28,111.46,112.84,109.04,109.64,229872500
2025-03-31,105.11,110.93,103.63,108.35,299212700
2025-04-01,108.49,110.17,106.44,110.12,222614000
2025-04-02,107.26,111.95,106.76,110.39,220601200
2025-04-03,103.49,105.61,101.58,101.78,338769400
2025-04-04,98.89,100.11,92.09,94.29,532273800
2025-04-07,87.44,101.73,86.6,97.62,611041300
2025-04-08,103.79,105.83,94.44,96.28,476243400
2025-04-09,98.87,115.07,97.51,114.3,612918300
2025-04-10,109.34,110.83,99.13,107.54,437812400
2025-04-11,108.47,111.52,107.45,110.9,313417300
2025-04-14,114.08,114.26,109.04,110.68,264705000
2025-04-15,110.94,113.59,110.47,112.17,228966900
2025-04-16,104.53,106.76,100.43,104.47,397016900
2025-04-17,104.43,104.45,100.03,101.47,292517500
2025-04-21,98.75,99.42,95.02,96.89,288501100
2025-04-22,98.76,99.79,97.26,98.87,241004800
2025-04-23,104.5,104.78,102.0,102.69,247526000
2025-04-24,103.46,106.51,103.09,106.4,220815000
2025-04-25,106.82,111.89,105.71,110.98,251064700
2025-04-28,109.66,110.34,106.0,108.7,207708500
2025-04-29,107.64,110.17,107.41,108.99,170444300
2025-04-30,104.45,108.89,104.06,108.89,235044600
2025-05-01,113.05,114.91,111.27,111.58,236121500
2025-05-02,114.15,115.37,113.34,114.47,190194800
2025-05-05,112.88,114.64,112.63,113.79,133163200
2025-05-06,111.45,114.71,110.79,113.51,158525600
2025-05-07,113.02,117.65,112.25,117.03,206758800
2025-05-08,118.22,118.65,115.82,117.34,198428100
2025-05-09,117.32,118.2,115.18,116.62,132972200
2025-05-12,121.94,122.97,120.25,122.97,225023300
2025-05-13,124.95,131.19,124.44,129.9,330430100
2025-05-14,133.17,135.41,131.65,135.31,281180800
2025-05-15,134.26,136.27,132.63,134.8,226632600
2025-05-16,136.19,136.32,133.43,135.37,226542500
2025-05-19,132.36,135.84,132.36,135.54,193154600
2025-05-20,134.26,134.55,132.59,134.35,161514200
2025-05-21,133.03,137.37,130.56,131.77,270608700
2025-05-22,132.2,134.22,131.52,132.8,187344000
2025-05-23,129.97,132.65,129.13,131.26,198821300
2025-05-27,134.12,135.63,133.28,135.47,192953600
2025-05-28,136.0,137.22,134.76,134.78,304021100
2025-05-29,142.22,143.46,137.88,139.16,369241900
2025-05-30,138.69,139.59,132.89,135.1,333170900
2025-06-02,135.46,138.09,135.37,137.35,197663100
2025-06-03,138.75,141.97,137.92,141.19,225578800
2025-06-04,142.16,142.36,139.51,141.89,167120800
2025-06-05,142.14,143.97,138.8,139.96,231397900
2025-06-06,142.48,143.24,141.48,141.69,153986200
2025-06-09,143.16,144.97,141.91,142.6,185114500
2025-06-10,142.66,144.26,141.5,143.93,155881900
2025-06-11,144.59,144.97,141.85,142.81,167694000
2025-06-12,141.95,144.98,141.83,144.98,162365000
2025-06-13,142.46,143.56,140.83,141.95,180820600
2025-06-16,143.33,146.16,143.18,144.67,183133700
2025-06-17,144.47,145.2,143.76,144.1,139108000
2025-06-18,143.99,145.63,143.1,145.46,161494100
2025-06-20,145.43,146.18,142.63,143.83,242956200
2025-06-23,142.48,144.76,142.01,144.15,154308900
2025-06-24,145.54,147.94,145.48,147.88,187566100
2025-06-25,149.25,154.42,149.24,154.28,269146500
2025-06-26,155.95,156.69,153.97,154.99,198145700
2025-06-27,156.01,158.68,155.23,157.72,263234500
2025-06-30,158.37,158.63,155.93,157.96,194580300
2025-07-01,156.26,157.17,151.46,153.27,213143600
2025-07-02,152.95,157.57,152.94,157.22,171224100
2025-07-03,158.34,160.95,157.74,159.31,143716100
2025-07-07,158.17,159.28,157.31,158.21,140139000
2025-07-08,159.3,160.19,158.36,159.97,138133000
2025-07-09,161.19,164.39,161.13,162.85,183656400
2025-07-10,164.29,164.47,161.58,164.07,167704100
2025-07-11,163.69,167.86,163.44,164.89,193633300
2025-07-14,165.34,165.46,161.99,164.04,136975800
2025-07-15,171.16,172.37,169.17,170.67,230627400
2025-07-16,171.03,171.72,168.87,171.34,158831500
2025-07-17,171.99,174.13,170.8,172.97,160841100
2025-07-18,173.61,174.22,171.23,172.38,146456400
2025-07-21,172.72,173.35,170.97,171.35,123126100
2025-07-22,171.31,171.36,164.55,167.0,193114300
2025-07-23,169.5,171.23,167.94,170.75,154082200
2025-07-24,172.41,173.8,171.27,173.71,128984600
2025-07-25,173.58,174.69,172.93,173.47,122316800
2025-07-28,173.99,176.97,173.94,176.72,140023500
2025-07-29,177.93,179.35,174.99,175.48,154077500
2025-07-30,176.48,179.86,176.01,179.24,174312200
